iri	iri label	attribute	attribute label	entity	entity label	
TO:0000708	plant color	PATO:0000014	color	PO:0000003	whole plant
TO:0002621	fruit columella color	PATO:0000014	color	PO:0004540	fruit columella
TO:1000003	shoot axis node color	PATO:0000014	color	PO:0005004	shoot axis node
TO:0002708	xylem color	PATO:0000014	color	PO:0005352	xylem
TO:0000943	aleurone layer color	PATO:0000014	color	PO:0005360	aleurone layer
TO:0002709	phloem color	PATO:0000014	color	PO:0005417	phloem
TO:0000364	leaf collar color	PATO:0000014	color	PO:0006012	leaf collar
TO:0000140	apiculus color	PATO:0000014	color	PO:0006033	palea apiculus
TO:0002617	fruit color	PATO:0000014	color	PO:0009001	fruit
TO:0000065	root color	PATO:0000014	color	PO:0009005	root
TO:0000486	seed color	PATO:0000014	color	PO:0009010	seed
TO:0000573	sepal color	PATO:0000014	color	PO:0009031	sepal
TO:0000572	petal color	PATO:0000014	color	PO:0009032	petal
TO:0000574	tepal color	PATO:0000014	color	PO:0009033	tepal
TO:0000264	lemma and palea color	PATO:0000014	color	PO:0009034	flower bract
TO:0000221	glume color	PATO:0000014	color	PO:0009039	glume
TO:0000400	sterile lemma color	PATO:0000014	color	PO:0009040	sterile lemma
TO:0000537	flower color	PATO:0000014	color	PO:0009046	flower
TO:0000056	stem color	PATO:0000014	color	PO:0009047	stem
TO:0000581	inflorescence color	PATO:0000014	color	PO:0009049	inflorescence
TO:0000779	peduncle color	PATO:0000014	color	PO:0009053	peduncle
TO:0000819	inflorescence bract color	PATO:0000014	color	PO:0009054	inflorescence bract
TO:0000951	corolla color	PATO:0000014	color	PO:0009059	corolla
TO:0000187	anther color	PATO:0000014	color	PO:0009066	anther
TO:1000016	plant ovary color	PATO:0000014	color	PO:0009072	plant ovary
TO:0000185	stigma color	PATO:0000014	color	PO:0009073	stigma
TO:0000676	style color	PATO:0000014	color	PO:0009074	style
TO:0011004	inflorescence branch color	PATO:0000014	color	PO:0009081	inflorescence branch
TO:0000536	spikelet floret color	PATO:0000014	color	PO:0009082	spikelet floret
TO:0000707	pericarp color	PATO:0000014	color	PO:0009084	pericarp
TO:0002620	exocarp color	PATO:0000014	color	PO:0009085	exocarp
TO:0002618	endocarp color	PATO:0000014	color	PO:0009086	endocarp
TO:0002619	mesocarp color	PATO:0000014	color	PO:0009087	mesocarp
TO:0000190	seed coat color	PATO:0000014	color	PO:0009088	seed coat
TO:0000487	endosperm color	PATO:0000014	color	PO:0009089	endosperm
TO:0000244	coleoptile color	PATO:0000014	color	PO:0020033	coleoptile
TO:0002707	petiole color	PATO:0000014	color	PO:0020038	petiole
TO:0000299	leaf lamina color	PATO:0000014	color	PO:0020039	leaf lamina
TO:0000885	petiolule color	PATO:0000014	color	PO:0020050	petiolule
TO:1000010	caruncle color	PATO:0000014	color	PO:0020060	caruncle
TO:0000968	hilum color	PATO:0000014	color	PO:0020063	hilum
TO:0002724	leaf sheath color	PATO:0000014	color	PO:0020104	leaf sheath
TO:0000197	ligule color	PATO:0000014	color	PO:0020105	ligule
TO:0000294	leaf sheath auricle color	PATO:0000014	color	PO:0020106	leaf sheath auricle
TO:0011003	inflorescence axis color	PATO:0000014	color	PO:0020122	inflorescence axis
TO:0000795	tassel inflorescence color	PATO:0000014	color	PO:0020126	tassel inflorescence
TO:0000695	leaf margin color	PATO:0000014	color	PO:0020128	leaf margin
TO:0000719	leaf vein color	PATO:0000014	color	PO:0020138	leaf lamina vein
TO:0000059	node color	PATO:0000014	color	PO:0020141	stem node
TO:0000534	culm color	PATO:0000014	color	PO:0020142	stem internode
TO:0000326	leaf color	PATO:0000014	color	PO:0025034	leaf
TO:0000878	spine leaf color	PATO:0000014	color	PO:0025173	spine leaf
TO:1000018	stem epidermis color	PATO:0000014	color	PO:0025178	stem epidermis
TO:0000810	pseudostem color	PATO:0000014	color	PO:0025248	pseudostem
TO:0000759	seedling hypocotyl color	PATO:0000014	color	PO:0025291	seedling hypocotyl
TO:1000019	disk flower color	PATO:0000014	color	PO:0025332	disk flower
TO:0000141	awn color	PATO:0000014	color	PO:0025349	awn
TO:0000750	seedling cotyledon color	PATO:0000014	color	PO:0025471	seedling cotyledon
TO:0000963	ear color	PATO:0000014	color	PO:0025597	ear infructescence
TO:1000017	stem cortex color	PATO:0000014	color	PO:0025612	stem cortex
