iri	iri label	attribute	attribute label	entity	entity label	
http://purl.obolibrary.org/obo/TO_0000708	plant color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0000003	
http://purl.obolibrary.org/obo/TO_0002621	fruit columella color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0004540	
http://purl.obolibrary.org/obo/TO_1000003	shoot axis node color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0005004	
http://purl.obolibrary.org/obo/TO_0002708	xylem color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0005352	
http://purl.obolibrary.org/obo/TO_0000943	aleurone layer color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0005360	
http://purl.obolibrary.org/obo/TO_0002709	phloem color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0005417	
http://purl.obolibrary.org/obo/TO_0000364	leaf collar color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0006012	
http://purl.obolibrary.org/obo/TO_0000140	apiculus color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0006033	
http://purl.obolibrary.org/obo/TO_0002617	fruit color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0009001	
http://purl.obolibrary.org/obo/TO_0000065	root color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0009005	
http://purl.obolibrary.org/obo/TO_0000486	seed color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0009010	
http://purl.obolibrary.org/obo/TO_0000573	sepal color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0009031	
http://purl.obolibrary.org/obo/TO_0000572	petal color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0009032	
http://purl.obolibrary.org/obo/TO_0000574	tepal color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0009033	
http://purl.obolibrary.org/obo/TO_0000264	lemma and palea color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0009034	
http://purl.obolibrary.org/obo/TO_0000221	glume color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0009039	
http://purl.obolibrary.org/obo/TO_0000400	sterile lemma color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0009040	
http://purl.obolibrary.org/obo/TO_0000537	flower color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/PO_0009046	
